epoch,lr,train_loss,val_loss,val_macroF1
1,0.001,1.9904845881745115,1.7099419322632652,0.2601937690101376
2,0.001,1.44753662577624,1.9406010940784717,0.2906627010274427
3,0.001,1.2031278243525516,0.8978754746094915,0.47108029665777645
4,0.001,1.0363500815066362,0.9225864747098385,0.47413393411347327
5,0.001,0.9805016994866689,0.9879675803293708,0.4785725949849439
6,0.001,0.9081441773970108,1.0089471594977926,0.5369672456068132
7,0.001,0.922235325521687,6.92007535468531,0.1316213316213316
8,0.001,0.8785966416631036,2.3418878162180192,0.30377577608222045
9,0.001,0.8163407814097707,0.8711335426978483,0.43161502225828324
10,0.001,0.8145213925931183,1.383532508638979,0.28559652826309534
11,0.0005,0.7454737767644266,2.382810421572387,0.39025127594541636
12,0.0005,0.7086478750870651,1.3993880730548889,0.4493211878872315
13,0.0005,0.7213518089365871,1.5897750472294465,0.40109427045255747
